INSERT INTO Records (product_id, date, price) VALUES (1, '2020-08-18', 8.00);
INSERT INTO Records (product_id, date, price) VALUES (2, '2020-08-18', 10.00);
INSERT INTO Records (product_id, date, price) VALUES (4, '2020-08-18', 13.00);
INSERT INTO Records (product_id, date, price) VALUES (5, '2020-08-18', 36.00);
INSERT INTO Records (product_id, date, price) VALUES (6, '2020-08-18', 30.00);
INSERT INTO Records (product_id, date, price) VALUES (7, '2020-08-18', 14.00);
INSERT INTO Records (product_id, date, price) VALUES (8, '2020-08-18', 9.00);
INSERT INTO Records (product_id, date, price) VALUES (9, '2020-08-18', 7.10);
INSERT INTO Records (product_id, date, price) VALUES (10, '2020-08-18', 8.45);
INSERT INTO Records (product_id, date, price) VALUES (11, '2020-08-18', 11.20);
INSERT INTO Records (product_id, date, price) VALUES (12, '2020-08-18', 30.70);
INSERT INTO Records (product_id, date, price) VALUES (13, '2020-08-18', 23.90);
INSERT INTO Records (product_id, date, price) VALUES (14, '2020-08-18', 23.30);
INSERT INTO Records (product_id, date, price) VALUES (15, '2020-08-18', 34.50);
INSERT INTO Records (product_id, date, price) VALUES (16, '2020-08-18', 19.00);
INSERT INTO Records (product_id, date, price) VALUES (17, '2020-08-18', 20.80);
INSERT INTO Records (product_id, date, price) VALUES (18, '2020-08-18', 27.90);
INSERT INTO Records (product_id, date, price) VALUES (19, '2020-08-18', 24.00);
INSERT INTO Records (product_id, date, price) VALUES (20, '2020-08-18', 26.50);
INSERT INTO Records (product_id, date, price) VALUES (21, '2020-08-18', 36.00);
INSERT INTO Records (product_id, date, price) VALUES (22, '2020-08-18', 32.50);
INSERT INTO Records (product_id, date, price) VALUES (23, '2020-08-18', 24.00);
INSERT INTO Records (product_id, date, price) VALUES (24, '2020-08-18', 35.90);
INSERT INTO Records (product_id, date, price) VALUES (25, '2020-08-18', 49.50);
INSERT INTO Records (product_id, date, price) VALUES (26, '2020-08-18', 32.90);
INSERT INTO Records (product_id, date, price) VALUES (27, '2020-08-18', 12.00);
INSERT INTO Records (product_id, date, price) VALUES (28, '2020-08-18', 32.50);
INSERT INTO Records (product_id, date, price) VALUES (29, '2020-08-18', 101.90);
INSERT INTO Records (product_id, date, price) VALUES (30, '2020-08-18', 99.90);
INSERT INTO Records (product_id, date, price) VALUES (31, '2020-08-18', 22.00);
INSERT INTO Records (product_id, date, price) VALUES (32, '2020-08-18', 16.90);
INSERT INTO Records (product_id, date, price) VALUES (33, '2020-08-18', 26.90);
INSERT INTO Records (product_id, date, price) VALUES (34, '2020-08-18', 42.50);
INSERT INTO Records (product_id, date, price) VALUES (35, '2020-08-18', 35.90);
INSERT INTO Records (product_id, date, price) VALUES (36, '2020-08-18', 15.80);
INSERT INTO Records (product_id, date, price) VALUES (37, '2020-08-18', 7.90);
INSERT INTO Records (product_id, date, price) VALUES (38, '2020-08-18', 8.20);
INSERT INTO Records (product_id, date, price) VALUES (39, '2020-08-18', 26.00);
INSERT INTO Records (product_id, date, price) VALUES (40, '2020-08-18', 50.00);
INSERT INTO Records (product_id, date, price) VALUES (41, '2020-08-18', 50.00);
INSERT INTO Records (product_id, date, price) VALUES (42, '2020-08-18', 25.50);
INSERT INTO Records (product_id, date, price) VALUES (43, '2020-08-18', 24.90);
INSERT INTO Records (product_id, date, price) VALUES (44, '2020-08-18', 26.50);
INSERT INTO Records (product_id, date, price) VALUES (46, '2020-08-18', 96.00);
INSERT INTO Records (product_id, date, price) VALUES (47, '2020-08-18', 32.00);
INSERT INTO Records (product_id, date, price) VALUES (48, '2020-08-18', 32.00);
INSERT INTO Records (product_id, date, price) VALUES (49, '2020-08-18', 47.35);
INSERT INTO Records (product_id, date, price) VALUES (50, '2020-08-18', 51.20);
INSERT INTO Records (product_id, date, price) VALUES (51, '2020-08-18', 43.90);
INSERT INTO Records (product_id, date, price) VALUES (52, '2020-08-18', 41.00);
INSERT INTO Records (product_id, date, price) VALUES (53, '2020-08-18', 35.90);
INSERT INTO Records (product_id, date, price) VALUES (54, '2020-08-18', 14.00);
INSERT INTO Records (product_id, date, price) VALUES (55, '2020-08-18', 20.50);
INSERT INTO Records (product_id, date, price) VALUES (56, '2020-08-18', 17.00);
INSERT INTO Records (product_id, date, price) VALUES (57, '2020-08-18', 13.00);
INSERT INTO Records (product_id, date, price) VALUES (58, '2020-08-18', 19.00);
INSERT INTO Records (product_id, date, price) VALUES (59, '2020-08-18', 72.90);
INSERT INTO Records (product_id, date, price) VALUES (60, '2020-08-18', 28.00);
INSERT INTO Records (product_id, date, price) VALUES (61, '2020-08-18', 71.90);
INSERT INTO Records (product_id, date, price) VALUES (62, '2020-08-18', 6.90);
INSERT INTO Records (product_id, date, price) VALUES (63, '2020-08-18', 8.90);
INSERT INTO Records (product_id, date, price) VALUES (64, '2020-08-18', 10.90);
INSERT INTO Records (product_id, date, price) VALUES (65, '2020-08-18', 36.90);
INSERT INTO Records (product_id, date, price) VALUES (66, '2020-08-18', 24.00);
INSERT INTO Records (product_id, date, price) VALUES (67, '2020-08-18', 43.00);
INSERT INTO Records (product_id, date, price) VALUES (68, '2020-08-18', 42.00);
INSERT INTO Records (product_id, date, price) VALUES (69, '2020-08-18', 29.00);
INSERT INTO Records (product_id, date, price) VALUES (70, '2020-08-18', 16.00);
INSERT INTO Records (product_id, date, price) VALUES (71, '2020-08-18', 15.00);
INSERT INTO Records (product_id, date, price) VALUES (72, '2020-08-18', 16.00);
INSERT INTO Records (product_id, date, price) VALUES (73, '2020-08-18', 15.00);
INSERT INTO Records (product_id, date, price) VALUES (74, '2020-08-18', 19.00);
INSERT INTO Records (product_id, date, price) VALUES (75, '2020-08-18', 31.00);
INSERT INTO Records (product_id, date, price) VALUES (77, '2020-08-18', 42.00);
INSERT INTO Records (product_id, date, price) VALUES (78, '2020-08-18', 58.00);
INSERT INTO Records (product_id, date, price) VALUES (79, '2020-08-18', 19.00);
INSERT INTO Records (product_id, date, price) VALUES (80, '2020-08-18', 34.00);
INSERT INTO Records (product_id, date, price) VALUES (81, '2020-08-18', 30.00);
INSERT INTO Records (product_id, date, price) VALUES (82, '2020-08-18', 23.00);
INSERT INTO Records (product_id, date, price) VALUES (84, '2020-08-18', 26.00);
INSERT INTO Records (product_id, date, price) VALUES (87, '2020-08-18', 41.00);
INSERT INTO Records (product_id, date, price) VALUES (88, '2020-08-18', 22.00);
